datasetID;type;language;license;rightsHolder;accessRights;institutionCode;datasetName;basisOfRecord;occurrenceID1;catalogueNumber;occurrenceID2;occurrenceID;recordedBy;organismQuantity;organismQuantityType;occurrenceStatus;occurrenceRemarks;eventDate;eventTime;habitat;decimalLongitude;decimalLatitude;geodeticDatum;coordinateUncertaintyInMeters;scientificName;verbatimIdentification;kingdom;taxonRank
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;machineObservation;U3JnTERpMUpIUzh1RitJQEEzLWg;U3JnTERpMUpIUzh1RitJQEEzLWg;1:U3JnTERpMUpIUzh1RitJQEEzLWg;MONT:OCC:1;Ana Lekić;;count - countRange;Present;Picture,video;2018-01-12;3:57:00 a.m.;;19.72781;42.74056;WGS84;30;Martes foina;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;machineObservation;VWd3Kikjd05aYjZOcCpheWxONGY;VWd3Kikjd05aYjZOcCpheWxONGY;2:VWd3Kikjd05aYjZOcCpheWxONGY;MONT:OCC:2;Ana Lekić;;count - countRange;Present;Picture,video;2018-01-14;4:04:00 a.m.;;19.73179;42.74488;WGS84;30;Vulpes vulpes;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;machineObservation;QDxTbHl6JmZyYm1OKUFRKFRZVjM;QDxTbHl6JmZyYm1OKUFRKFRZVjM;3:QDxTbHl6JmZyYm1OKUFRKFRZVjM;MONT:OCC:3;Ana Lekić;;count - countRange;Present;Picture,video;2018-02-19;7:34:00 p.m.;;19.73179;42.74488;WGS84;30;Felis silvestris;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;WClXYXR2LXBsRHlLRVk8SyZ2cVE;WClXYXR2LXBsRHlLRVk8SyZ2cVE;4:WClXYXR2LXBsRHlLRVk8SyZ2cVE;MONT:OCC:4;Ana Lekić;;count - countRange;Present;A paw print;2018-02-27;1:40:00 p.m.;;19.72781;42.74056;WGS84;30;Canis lupus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;machineObservation;Iy1NQDFHME42eUBsUU5WUWgtbF0;Iy1NQDFHME42eUBsUU5WUWgtbF0;5:Iy1NQDFHME42eUBsUU5WUWgtbF0;MONT:OCC:5;Ana Lekić;;count - countRange;Present;Picture,video;2018-02-27;1:40:00 a.m.;;19.72781;42.74056;WGS84;30;Vulpes vulpes;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Tjp5ckRFOVhdKWordWopOkRAM1Y;Tjp5ckRFOVhdKWordWopOkRAM1Y;6:Tjp5ckRFOVhdKWordWopOkRAM1Y;MONT:OCC:6;Ana Đurković;;count - countRange;Present;Visually perceived;2020-11-28;3:34:00 p.m.;;18.63777;42.98424;WGS84;30;Ursus arctos;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;machineObservation;RDYmbDJ1WFFnZXQ8RTxORlI2MyY;RDYmbDJ1WFFnZXQ8RTxORlI2MyY;7:RDYmbDJ1WFFnZXQ8RTxORlI2MyY;MONT:OCC:7;Ana Lekić;;count - countRange;Present;Picture,video;2021-02-19;4:21:00 p.m.;;19.73179;42.74488;WGS84;30;Meles meles;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Tk83bHUyYikzTUFyKnpbdXhHVSY;Tk83bHUyYikzTUFyKnpbdXhHVSY;8:Tk83bHUyYikzTUFyKnpbdXhHVSY;MONT:OCC:8;MR;;count - countRange;Present;Trampled on the road;2020-11-13;11:21:00 a.m.;;18.74617;42.38541;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;THVFZzMzLWp2RWM3KjwhbHVWVXo;THVFZzMzLWp2RWM3KjwhbHVWVXo;9:THVFZzMzLWp2RWM3KjwhbHVWVXo;MONT:OCC:9;MR;1;count - countRange;Present;Visually perceived;2020-11-16;12:55:00 p.m.;;18.71681;42.40034;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;PkBvRnlvYTxDVWZmSmdbOElxPHk;PkBvRnlvYTxDVWZmSmdbOElxPHk;10:PkBvRnlvYTxDVWZmSmdbOElxPHk;MONT:OCC:10;MR;1;count - countRange;Present;Visually perceived;2020-11-16;12:55:00 p.m.;;18.71421;42.40462;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SnJDd3BxeUZncj5KOTQ6aSg3Z3Q;SnJDd3BxeUZncj5KOTQ6aSg3Z3Q;11:SnJDd3BxeUZncj5KOTQ6aSg3Z3Q;MONT:OCC:11;MR, BŠ;;count - countRange;Present;Visually perceived;2020-11-18;11:50:00 a.m.;;18.74145;42.39400;WGS84;30;Rattus rattus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;UURCbUBhKzk8YWZiYThYV1tSQmU;UURCbUBhKzk8YWZiYThYV1tSQmU;12:UURCbUBhKzk8YWZiYThYV1tSQmU;MONT:OCC:12;MR;;count - countRange;Present;;2020-11-20;3:51:00 p.m.;;18.72130;42.40772;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;I1g2d3NhNXQxMTZoI3B1Qm9SNCU;I1g2d3NhNXQxMTZoI3B1Qm9SNCU;13:I1g2d3NhNXQxMTZoI3B1Qm9SNCU;MONT:OCC:13;MR;;count - countRange;Present;Audio recording;2020-11-23;2:36:00 p.m.;;18.71516;42.40155;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;LUw1NE1sb3ozT0E2KiFRVnd0ZHc;LUw1NE1sb3ozT0E2KiFRVnd0ZHc;14:LUw1NE1sb3ozT0E2KiFRVnd0ZHc;MONT:OCC:14;Marija Šoškić;1;count - countRange;Present;Excrement;2020-11-29;4:08:00 p.m.;;19.10158;42.14282;WGS84;30;Ursus arctos;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SSpud25tc2Zjems0ITMwaDEpUWQ;SSpud25tc2Zjems0ITMwaDEpUWQ;15:SSpud25tc2Zjems0ITMwaDEpUWQ;MONT:OCC:15;MR;2;count - countRange;Present;Caught individual;2020-12-01;3:08:00 p.m.;;18.73689;42.39084;WGS84;30;Herpestes auropunctatus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RTpqR3d3TzRWRFtNOXRuTHFLUlQ;RTpqR3d3TzRWRFtNOXRuTHFLUlQ;16:RTpqR3d3TzRWRFtNOXRuTHFLUlQ;MONT:OCC:16;Mico Batic;;count - countRange;Present;Claw mark,scratch;2020-12-12;3:48:00 p.m.;;19.48379;42.93794;WGS84;30;Ursus arctos;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SlptdDlkUlRFPDwtPDk6JSNCIT4;SlptdDlkUlRFPDwtPDk6JSNCIT4;17:SlptdDlkUlRFPDwtPDk6JSNCIT4;MONT:OCC:17;MR;13 najmanje;count - countRange;Present;;2020-12-15;11:20:00 a.m.;;19.06185;42.83193;WGS84;30;Nannospalax leucodon;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;UHRBOEo2dilHSHNYIypJSDNKc0M;UHRBOEo2dilHSHNYIypJSDNKc0M;18:UHRBOEo2dilHSHNYIypJSDNKc0M;MONT:OCC:18;MR;;count - countRange;Present;Claw mark,scratch;2021-01-06;12:42:00 p.m.;;18.59616;42.38742;WGS84;30;Sus scrofa;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;QFRTYm9CZkkyeiorO1cxRVJyZmQ;QFRTYm9CZkkyeiorO1cxRVJyZmQ;19:QFRTYm9CZkkyeiorO1cxRVJyZmQ;MONT:OCC:19;MR;;count - countRange;Present;Visually perceived;2021-01-06;12:37:00 p.m.;;18.62008;42.38484;WGS84;30;Sciurus vulgaris;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;KmNyRypkbUdBPFdBKmd0WElSKio;KmNyRypkbUdBPFdBKmd0WElSKio;20:KmNyRypkbUdBPFdBKmd0WElSKio;MONT:OCC:20;Admir Lalic;3;count - countRange;Present;Visually perceived;2021-01-07;2:30:00 p.m.;;20.02802;42.61305;WGS84;30;Capreolus capreolus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Vk9ITnoxeU9HTHFQOzZ3bjNbel0;Vk9ITnoxeU9HTHFQOzZ3bjNbel0;21:Vk9ITnoxeU9HTHFQOzZ3bjNbel0;MONT:OCC:21;BŠ;;count - countRange;Present;Visually perceived;2021-01-13;9:40:00 p.m.;;19.27757;42.42335;WGS84;30;Rattus rattus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;THI2RzZDdWNpcSNqI0RKeTJSUXQ;THI2RzZDdWNpcSNqI0RKeTJSUXQ;22:THI2RzZDdWNpcSNqI0RKeTJSUXQ;MONT:OCC:22;Zoran Radonjic;;count - countRange;Present;A dead animal;2021-01-16;2:41:00 p.m.;;18.61152;42.36807;WGS84;30;Sus scrofa;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Kio7eEJ6JlNnOiMlI0wrUmNGVnQ;Kio7eEJ6JlNnOiMlI0wrUmNGVnQ;23:Kio7eEJ6JlNnOiMlI0wrUmNGVnQ;MONT:OCC:23;MR, BŠ;;count - countRange;Present;Trampled on the road;2021-01-18;10:41:00 a.m.;;18.75780;42.38538;WGS84;30;Vulpes vulpes;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Rk5GSChEdFVZM1F5T1c-LTF3QnE;Rk5GSChEdFVZM1F5T1c-LTF3QnE;24:Rk5GSChEdFVZM1F5T1c-LTF3QnE;MONT:OCC:24;Danilo Brajović;;count - countRange;Present;A paw print;2021-02-23;3:00:00 p.m.;;18.59863;42.57833;WGS84;30;Ursus arctos;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SnpuWTsjIXVjY3ZDaHN0YUUmJU0;SnpuWTsjIXVjY3ZDaHN0YUUmJU0;25:SnpuWTsjIXVjY3ZDaHN0YUUmJU0;MONT:OCC:25;Nemanja Ružić;;count - countRange;Present;Visually perceived;2021-02-27;9:41:00 p.m.;;19.06531;42.12616;WGS84;30;Meles meles;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Wl1dbCo6eGMwNiMzQjJrIz4lPiY;Wl1dbCo6eGMwNiMzQjJrIz4lPiY;26:Wl1dbCo6eGMwNiMzQjJrIz4lPiY;MONT:OCC:26;MR;;count - countRange;Present;Visually perceived;2021-02-28;5:25:00 p.m.;;19.73613;43.02213;WGS84;30;Lutra lutra;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;T3FReSFpWGMqWVlVYkdkSHkzOW4;T3FReSFpWGMqWVlVYkdkSHkzOW4;27:T3FReSFpWGMqWVlVYkdkSHkzOW4;MONT:OCC:27;MR, BŠ;;count - countRange;Present;;2021-03-01;9:58:00 a.m.;;18.73819;42.39642;WGS84;30;Apodemus sylvaticus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RW56KmVRbXBKK1oqVSkmWDc-PkM;RW56KmVRbXBKK1oqVSkmWDc-PkM;28:RW56KmVRbXBKK1oqVSkmWDc-PkM;MONT:OCC:28;MR, BŠ;;count - countRange;Present;Caught individual;2021-03-01;10:29:00 a.m.;;18.71471;42.40171;WGS84;30;Rattus rattus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RjNuSWg-YlVMJnVMQHFjQWJ2dnM;RjNuSWg-YlVMJnVMQHFjQWJ2dnM;29:RjNuSWg-YlVMJnVMQHFjQWJ2dnM;MONT:OCC:29;MR, BŠ;2;count - countRange;Present;Caught individual;2021-03-03;9:47:00 a.m.;;18.73835;42.39616;WGS84;30;Apodemus sylvaticus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;U1JYU2pXdml0US1oeCE7d2Z3ZDc;U1JYU2pXdml0US1oeCE7d2Z3ZDc;30:U1JYU2pXdml0US1oeCE7d2Z3ZDc;MONT:OCC:30;MR;1;count - countRange;Present;A dead animal;2021-03-21;6:00:00 a.m.;;18.53767;42.45203;WGS84;30;Erinaceus roumanicus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Ry02dF0xWVB3MXNNTC00SWlUeUo;Ry02dF0xWVB3MXNNTC00SWlUeUo;31:Ry02dF0xWVB3MXNNTC00SWlUeUo;MONT:OCC:31;Arina Maras;;count - countRange;Present;Excrement;2021-03-27;11:32:00 a.m.;;18.82814;42.32168;WGS84;30;Martes foina;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SlhJTjxDU0Q6TyVFTFNhIXVbRC0;SlhJTjxDU0Q6TyVFTFNhIXVbRC0;32:SlhJTjxDU0Q6TyVFTFNhIXVbRC0;MONT:OCC:32;BŠ, MR;45;count - countRange;Present;Visually perceived;2021-03-31;7:00:00 p.m.;;18.96411;42.19866;WGS84;30;Pipistrellus;Pipistrellus khulii/nathusii;Animalia;Genus
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;KENvMklRa1YteDUoQmlWS1tUa0g;KENvMklRa1YteDUoQmlWS1tUa0g;33:KENvMklRa1YteDUoQmlWS1tUa0g;MONT:OCC:33;BŠ, MR;;count - countRange;Present;Caught individual;2021-03-31;11:00:00 a.m.;;18.97974;42.19151;WGS84;30;Crocidura suaveolens;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SSN2dDdGOHJMYXcqR1taZ3RdSTA;SSN2dDdGOHJMYXcqR1taZ3RdSTA;34:SSN2dDdGOHJMYXcqR1taZ3RdSTA;MONT:OCC:34;BŠ, MR;1;count - countRange;Present;Caught individual;2021-04-01;10:08:00 a.m.;;18.97998;42.19155;WGS84;30;Apodemus sylvaticus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;PDh2W1gxQTFOYUMyRWZVcDdVWHM;PDh2W1gxQTFOYUMyRWZVcDdVWHM;35:PDh2W1gxQTFOYUMyRWZVcDdVWHM;MONT:OCC:35;BŠ, MR;;count - countRange;Present;Caught individual;2021-04-01;10:18:00 a.m.;;18.98008;42.19141;WGS84;30;Apodemus sylvaticus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RlhHdCklNnhKKFtKOFZoTCoyenM;RlhHdCklNnhKKFtKOFZoTCoyenM;36:RlhHdCklNnhKKFtKOFZoTCoyenM;MONT:OCC:36;MR;;count - countRange;Present;Trampled on the road;2021-04-01;10:52:00 a.m.;;18.84929;42.77555;WGS84;30;Meles meles;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;WmZ2ekBObz40VFRbYl14WEd1cGE;WmZ2ekBObz40VFRbYl14WEd1cGE;37:WmZ2ekBObz40VFRbYl14WEd1cGE;MONT:OCC:37;MR;;count - countRange;Present;Trampled on the road;2021-04-02;12:02:00 p.m.;;18.95574;42.20464;WGS84;30;Martes foina;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SDNvcWNjSXZATXlMOEojWml6RXQ;SDNvcWNjSXZATXlMOEojWml6RXQ;38:SDNvcWNjSXZATXlMOEojWml6RXQ;MONT:OCC:38;Vernes Zagora;;count - countRange;Present;A dead animal;2021-04-03;9:36:00 a.m.;;19.13237;42.06763;WGS84;30;Martes foina;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RjNpIU9tOEREVy0pKnRhaCl1MSo;RjNpIU9tOEREVy0pKnRhaCl1MSo;39:RjNpIU9tOEREVy0pKnRhaCl1MSo;MONT:OCC:39;Marija Soskic;4-5;count - countRange;Present;Howling;2021-04-04;8:26:00 p.m.;;19.33199;42.29962;WGS84;30;Canis aureus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;LUdYO0E1XXYhMXF3T0VnRkshKWs;LUdYO0E1XXYhMXF3T0VnRkshKWs;40:LUdYO0E1XXYhMXF3T0VnRkshKWs;MONT:OCC:40;MR;;count - countRange;Present;Visually perceived;2021-04-10;9:55:00 a.m.;;18.80300;42.28400;WGS84;30;Erinaceus romanicus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;RUE4V29KYTlmSV1RKXo0SGxKRGg;RUE4V29KYTlmSV1RKXo0SGxKRGg;41:RUE4V29KYTlmSV1RKXo0SGxKRGg;MONT:OCC:41;Jelena Đurković;;count - countRange;Present;Visually perceived;2021-04-24;9:44:00 p.m.;;18.64261;42.74479;WGS84;30;Vulpes vulpes;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Pk0jKUB4QUx5UWpUamQ-aysrO3Q;Pk0jKUB4QUx5UWpUamQ-aysrO3Q;42:Pk0jKUB4QUx5UWpUamQ-aysrO3Q;MONT:OCC:42;Hasan hadžiablahović;;count - countRange;Present;Visually perceived;2021-04-28;4:30:00 p.m.;;19.43681;42.40710;WGS84;30;Lutra lutra;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;KkpMUVZhKjJabWtUaylJOElbPmU;KkpMUVZhKjJabWtUaylJOElbPmU;43:KkpMUVZhKjJabWtUaylJOElbPmU;MONT:OCC:43;SR;2;count - countRange;Present;A dead animal;2021-01-08;9:00:00 a.m.;;19.91794;42.81068;WGS84;30;Canis lupus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;XVVyRHo6LWE0d2FJVF03TUNHRDg;XVVyRHo6LWE0d2FJVF03TUNHRDg;44:XVVyRHo6LWE0d2FJVF03TUNHRDg;MONT:OCC:44;SR;Q;count - countRange;Present;A dead animal;2021-01-09;10:01:00 a.m.;;19.86079;42.81840;WGS84;30;Vulpes vulpes;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;Vkl3KlpdZTZxMnVHKnRyaSluZjw;Vkl3KlpdZTZxMnVHKnRyaSluZjw;45:Vkl3KlpdZTZxMnVHKnRyaSluZjw;MONT:OCC:45;SR;1;count - countRange;Present;A dead animal;2021-01-10;9:52:00 a.m.;;19.86111;42.81833;WGS84;30;Canis aureus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;JWVRK1JSek1Fd05lKDpDOSptKiE;JWVRK1JSek1Fd05lKDpDOSptKiE;46:JWVRK1JSek1Fd05lKDpDOSptKiE;MONT:OCC:46;SR;2;count - countRange;Present;A paw print;2021-01-12;9:50:00 a.m.;;19.91764;42.79768;WGS84;30;Canis lupus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;TmNrM1VxODZzIVdIOU88bzlYZS0;TmNrM1VxODZzIVdIOU88bzlYZS0;47:TmNrM1VxODZzIVdIOU88bzlYZS0;MONT:OCC:47;SR;2;count - countRange;Present;A dead animal;2021-02-07;11:43:00 a.m.;;18.81512;42.87104;WGS84;30;Capreolus capreolus;;Animalia;species
https://doi.org/10.15468/jr2me6;Event;en;http://creativecommons.org/publicdomain/zero/1.0/;Wildlife Montenegro;http://www.inbo.be/en/norms-for-data-use;Wildlife Montenegro;Wildlife Montenegro, mammals in Montenegro;humanObservation;SHRmOihVMHlGR1Bxak9JMEF1amY;SHRmOihVMHlGR1Bxak9JMEF1amY;48:SHRmOihVMHlGR1Bxak9JMEF1amY;MONT:OCC:48;SR;1;count - countRange;Present;A dead animal;2021-02-28;1:23:00 p.m.;;19.70838;42.98834;WGS84;30;Martes foina;;Animalia;species
